"";"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"BI.SP[11,9,9]";4,32512;1,92857358782128;1,09;3,27;4,36;5,45;8,72;1,00126883036504;2000
"BI.SP[12,9,9]";1,983255;1,20667111615646;1,09;1,09;2,18;2,18;5,45;1,00056112659919;2000
"BI.SP[13,9,9]";4,37199;1,87827074469981;2,18;3,27;4,36;5,45;8,72;1,00025769714307;2000
"BI.SP[14,9,9]";2,771325;1,60243879740374;1,09;2,18;2,18;3,27;6,54;1,00085566943375;2000
"BI.SP[15,9,9]";0,86982;1,25129670315224;0;0;0;1,09;4,36;1,00170149928307;2000
"BI.SP[16,9,9]";5,349175;2,05594995914109;2,18;4,36;5,45;6,54;9,81;1,00072361829854;2000
"BI.SP[17,9,9]";4,233015;1,98894165430437;1,09;3,27;4,36;5,45;8,72;1,00019211916429;2000
"BI.SP[18,9,9]";1,97726;1,24233871997438;1,09;1,09;1,09;2,18;5,45;1,00061644878027;2000
"BI.SP[19,9,9]";2,665595;1,60608284251577;1,09;1,09;2,18;3,27;6,54;1,00050689443457;2000
"BI.SP[20,9,9]";3,451485;1,73376579060821;1,09;2,18;3,27;4,36;7,63;1,00096659977162;2000
"BI.SP[21,9,9]";2,03285;1,29956423892994;1,09;1,09;1,09;2,18;5,45;1,00039094495614;2000
"BI.SP[22,9,9]";4,590535;2,04517464619572;2,18;3,27;4,36;5,45;8,74571454240388;1,00109003537894;2000
"BI.SP[23,9,9]";3,68093;1,82823826748082;1,09;2,18;3,27;4,36;7,63;1,00147595417435;1700
"BI.SP[24,9,9]";3,563755;1,83181039265322;1,09;2,18;3,27;4,36;7,63;1,00341843740936;780
"BI.SP[25,9,9]";5,5917;2,22482406744118;2,18;4,36;5,45;6,54;10,9;1,00132217466023;1900
"BI.SP[26,9,9]";4,404145;2,00410366117058;1,09;3,27;4,36;5,45;8,72;1,00003721799459;2000
"BI.SP[27,9,9]";3,441675;1,72755534444168;1,09;2,18;3,27;4,36;7,63;1,00021530463643;2000
"BI.SP[28,9,9]";4,49407;1,9340806004364;2,18;3,27;4,36;5,45;8,72;1,00232167396649;1100
"BI.SP[29,9,9]";3,620435;1,8416049291671;1,09;2,18;3,27;4,36;7,63;1,00443549205354;630
"BI.SP[30,9,9]";4,585085;2,15941631747821;2,18;3,27;4,36;5,45;9,81;1,00226714618461;1900
"BI.SP[31,9,9]";0,83167;1,28533429629285;0;0;0;1,09;4,36;1,00400180352138;2000
"BI.SP[32,9,9]";0,886715;1,29081910652031;0;0;0;1,09;4,36;1,00595250738069;2000
"BI.SP[33,9,9]";2,060645;1,30855867154417;1,09;1,09;2,18;2,18;5,45;1,00054215933608;2000
"BI.SP[34,9,9]";2,83727;1,64641668208433;1,09;2,18;2,18;3,27;6,54;1,00139431727229;1800
"BI.SP[35,9,9]";2,114055;1,32001341837395;1,09;1,09;2,18;2,18;5,45;1,00114877537288;2000
"BI.SP[36,9,9]";0,92432;1,30099082478053;0;0;0;1,09;4,36;1,00327045480255;2000
"BI.SP[37,9,9]";3,747965;1,88721676082167;1,09;2,18;3,27;4,36;8,72;1,00093063717822;2000
"BI.SP[38,9,9]";5,894175;2,38778256383638;2,18;4,36;5,45;7,63;11,99;1,0018387960373;1400
"BI.SP[39,9,9]";3,779575;2,00175467534489;1,09;2,18;3,27;4,36;8,72;1,00137761274534;1800
"BI.SP[40,9,9]";6,334535;2,65587535865965;2,18;4,36;5,45;7,63;13,08;1,00230402903687;1100
"BI.SP[41,9,9]";2,335325;1,54618713023224;1,09;1,09;2,18;3,27;6,54;1,00020614564935;2000
"BI.SP[42,9,9]";2,322245;1,55128196916256;1,09;1,09;2,18;3,27;6,54;1,00004396261057;2000
"BI.SP[43,9,9]";4,766025;2,09767534912105;2,18;3,27;4,36;5,45;9,81;1,00139604604584;1800
"BI.SP[44,9,9]";4,454285;2,07381707182642;1,09;3,27;4,36;5,45;8,72;1,00044670649075;2000
"BI.SP[45,9,9]";3,44767;1,75815745310678;1,09;2,18;3,27;4,36;7,63;1,0005732630184;2000
"BI.SP[46,9,9]";5,376425;2,14840249627906;2,18;4,36;5,45;6,54;9,81;1,0010956252679;2000
"BI.SP[47,9,9]";3,48146;1,76083717082842;1,09;2,18;3,27;4,36;7,63;1,00063689436009;2000
"BI.SP[48,9,9]";3,69728;1,90636775586724;1,09;2,18;3,27;4,36;8,72;1,00075596155041;2000
"BI.SP[49,9,9]";3,862415;2,04149221477981;1,09;2,18;3,27;4,36;8,72;1,00106848205507;2000
"BI.SP[50,9,9]";5,23091;2,45216802766815;2,18;3,27;4,36;6,54;10,9;1,00051010456904;2000
"BI.SP[51,9,9]";4,95841;2,24119290662859;2,18;3,27;4,36;6,54;9,81;1,0008877216981;2000
"BI.SP[52,9,9]";4,78837;2,19346780090265;2,18;3,27;4,36;5,45;9,81;1,00069678048464;2000
"BI.SP[53,9,9]";4,67719;2,07046154501954;2,18;3,27;4,36;5,45;9,81;1,00088760309592;2000
"BI.SP[54,9,9]";5,63203;2,26349388808335;2,18;4,36;5,45;6,54;10,9;1,00040432200358;2000
"BI.SP[55,9,9]";3,52506;1,7530159522561;1,09;2,18;3,27;4,36;7,63;1,00127675615555;2000
"BI.SP[56,9,9]";4,57582;2,00349153149158;2,18;3,27;4,36;5,45;9,81;1,00019220500572;2000
"BI.SP[57,9,9]";4,70335;2,13531357405176;2,18;3,27;4,36;5,45;9,81;1,00223783775318;2000
